abbrev,state,povertyRate,avgHHIncome,year,colorsID
AL,Alabama,18.8,42882,2013,1390.63
AK,Alaska,10.1,70058,2013,13.31
AZ,Arizona,18.6,48504,2013,1463.17
AR,Arkansas,19.3,40605,2013,3586.02
CA,California,16.8,60185,2013,16472.88
CO,Colorado,12.9,58942,2013,1851.33
CT,Connecticut,10.6,67262,2013,259.62
DE,Delaware,12.9,58244,2013,282.19
FL,Florida,17.1,46021,2013,3764.09
GA,Georgia,19,47765,2013,2860.84
HI,Hawaii,11.1,67798,2013,401.84
ID,Idaho,15.6,46621,2013,2078.89
IL,Illinois,14.6,56212,2013,8709.48
IN,Indiana,15.8,47508,2013,5050.23
IA,Iowa,12.6,52286,2013,11273.76
KS,Kansas,13.9,50892,2013,4589.01
KY,Kentucky,18.8,43307,2013,1889.15
LA,Louisiana,20,44234,2013,1914.23
ME,Maine,14,47095,2013,278.37
MD,Maryland,10.1,72482,2013,692.75
MA,Massachusetts,11.9,66794,2013,248.65
MI,Michigan,17,48200,2013,3164.16
MN,Minnesota,11.1,60664,2013,7192.33
MS,Mississippi,23.8,38191,2013,2170.8
MO,Missouri,15.8,46905,2013,3933.42
MT,Montana,16.1,46893,2013,1718
NE,Nebraska,12.9,51502,2013,7114.13
NV,Nevada,15.8,51250,2013,139.89
NH,New Hampshire,9,64064,2013,73.06
NJ,New Jersey,11.4,70224,2013,500.4
NM,New Mexico,21.3,44026,2013,751.58
NY,New York,16,57255,2013,1488.9
NC,North Carolina,17.8,45946,2013,3806.05
ND,North Dakota,11.6,56800,2013,3761.96
OH,Ohio,15.9,48138,2013,3979.79
OK,Oklahoma,16.6,45724,2013,1646.41
OR,Oregon,16.5,50228,2013,1794.57
PA,Pennsylvania,13.6,52005,2013,1969.87
RI,Rhode Island,14.6,55015,2013,31.59
SC,South Carolina,18.5,44310,2013,929.93
SD,South Dakota,14,49200,2013,3770.19
TN,Tennessee,17.8,44268,2013,1535.13
TX,Texas,17.5,51714,2013,6648.22
UT,Utah,12.6,59715,2013,453.39
VT,Vermont,12.3,52511,2013,180.14
VA,Virginia,11.6,62745,2013,1146.48
WA,Washington,14.1,58431,2013,3894.81
WV,West Virginia,18.3,41195,2013,138.89
WI,Wisconsin,13.5,51474,2013,3090.23
WY,Wyoming,10.9,58424,2013,349.69
AL,Alabama,19.1,42917,2014,1390.63
AK,Alaska,11.4,70898,2014,13.31
AZ,Arizona,18.1,50036,2014,1463.17
AR,Arkansas,18.6,41335,2014,3586.02
CA,California,16.3,61927,2014,16472.88
CO,Colorado,12.1,61324,2014,1851.33
CT,Connecticut,10.8,70007,2014,259.62
DE,Delaware,13,59853,2014,282.19
FL,Florida,16.6,47439,2014,3764.09
GA,Georgia,18.3,49240,2014,2860.84
HI,Hawaii,11.5,69549,2014,401.84
ID,Idaho,14.8,47572,2014,2078.89
IL,Illinois,14.3,57458,2014,8709.48
IN,Indiana,15.1,49384,2014,5050.23
IA,Iowa,12.3,53816,2014,11273.76
KS,Kansas,13.5,52392,2014,4589.01
KY,Kentucky,19,42914,2014,1889.15
LA,Louisiana,19.8,44680,2014,1914.23
ME,Maine,14,49381,2014,278.37
MD,Maryland,10.4,73851,2014,692.75
MA,Massachusetts,11.6,69200,2014,248.65
MI,Michigan,16.1,49755,2014,3164.16
MN,Minnesota,11.4,61473,2014,7192.33
MS,Mississippi,21.8,39738,2014,2170.8
MO,Missouri,15.5,48288,2014,3933.42
MT,Montana,15.1,46608,2014,1718
NE,Nebraska,12.3,52803,2014,7114.13
NV,Nevada,15.4,51487,2014,139.89
NH,New Hampshire,9.19,66469,2014,73.06
NJ,New Jersey,11.1,71968,2014,500.4
NM,New Mexico,20.6,44905,2014,751.58
NY,New York,16,58771,2014,1488.9
NC,North Carolina,17.1,46596,2014,3806.05
ND,North Dakota,11.1,60227,2014,3761.96
OH,Ohio,15.8,49349,2014,3979.79
OK,Oklahoma,16.6,47524,2014,1646.41
OR,Oregon,16.3,51088,2014,1794.57
PA,Pennsylvania,13.6,53224,2014,1969.87
RI,Rhode Island,14.8,54797,2014,31.59
SC,South Carolina,17.8,45337,2014,929.93
SD,South Dakota,14.1,51059,2014,3770.19
TN,Tennessee,18.1,44357,2014,1535.13
TX,Texas,17.1,53067,2014,6648.22
UT,Utah,11.8,60943,2014,453.39
VT,Vermont,12,54153,2014,180.14
VA,Virginia,11.8,64923,2014,1146.48
WA,Washington,13.1,61358,2014,3894.81
WV,West Virginia,18.3,41030,2014,138.89
WI,Wisconsin,13.1,52632,2014,3090.23
WY,Wyoming,11.1,58291,2014,349.69
AL,Alabama,18.5,44833,2015,1390.63
AK,Alaska,10.4,73391,2015,13.31
AZ,Arizona,17.3,51473,2015,1463.17
AR,Arkansas,18.6,42046,2015,3586.02
CA,California,15.4,64483,2015,16472.88
CO,Colorado,11.5,63945,2015,1851.33
CT,Connecticut,10.6,71333,2015,259.62
DE,Delaware,12.6,61327,2015,282.19
FL,Florida,15.8,49416,2015,3764.09
GA,Georgia,17.1,51225,2015,2860.84
HI,Hawaii,10.6,73097,2015,401.84
ID,Idaho,14.6,48311,2015,2078.89
IL,Illinois,13.6,59590,2015,8709.48
IN,Indiana,14.4,50510,2015,5050.23
IA,Iowa,12.1,54843,2015,11273.76
KS,Kansas,12.9,53802,2015,4589.01
KY,Kentucky,18.3,45178,2015,1889.15
LA,Louisiana,19.5,45829,2015,1914.23
ME,Maine,13.1,51419,2015,278.37
MD,Maryland,9.90,75784,2015,692.75
MA,Massachusetts,11.5,70659,2015,248.65
MI,Michigan,15.6,51063,2015,3164.16
MN,Minnesota,10.1,63459,2015,7192.33
MS,Mississippi,22.1,40630,2015,2170.8
MO,Missouri,14.8,50200,2015,3933.42
MT,Montana,14.4,49650,2015,1718
NE,Nebraska,12.1,55073,2015,7114.13
NV,Nevada,14.9,52544,2015,139.89
NH,New Hampshire,8.40,70003,2015,73.06
NJ,New Jersey,10.8,72337,2015,500.4
NM,New Mexico,19.8,45524,2015,751.58
NY,New York,15.5,60805,2015,1488.9
NC,North Carolina,16.3,47884,2015,3806.05
ND,North Dakota,10.6,61674,2015,3761.96
OH,Ohio,14.8,51086,2015,3979.79
OK,Oklahoma,16,48595,2015,1646.41
OR,Oregon,15.1,54074,2015,1794.57
PA,Pennsylvania,13.1,55683,2015,1969.87
RI,Rhode Island,14.1,57265,2015,31.59
SC,South Carolina,16.8,47308,2015,929.93
SD,South Dakota,13.5,53263,2015,3770.19
TN,Tennessee,16.6,47243,2015,1535.13
TX,Texas,15.9,55668,2015,6648.22
UT,Utah,11.1,62961,2015,453.39
VT,Vermont,10.4,56883,2015,180.14
VA,Virginia,11.1,66263,2015,1146.48
WA,Washington,12.1,64080,2015,3894.81
WV,West Virginia,18,41969,2015,138.89
WI,Wisconsin,12.1,55623,2015,3090.23
WY,Wyoming,10.6,61213,2015,349.69
AL,Alabama,17.1,46309,2016,1390.63
AK,Alaska,9.90,76144,2016,13.31
AZ,Arizona,16.3,53481,2016,1463.17
AR,Arkansas,17.1,44406,2016,3586.02
CA,California,14.4,67715,2016,16472.88
CO,Colorado,11,65718,2016,1851.33
CT,Connecticut,9.90,73380,2016,259.62
DE,Delaware,11.8,62112,2016,282.19
FL,Florida,14.8,50857,2016,3764.09
GA,Georgia,16.1,53468,2016,2860.84
HI,Hawaii,9.5,74659,2016,401.84
ID,Idaho,13.8,51647,2016,2078.89
IL,Illinois,13,60977,2016,8709.48
IN,Indiana,14,52289,2016,5050.23
IA,Iowa,11.6,56354,2016,11273.76
KS,Kansas,12.1,54828,2016,4589.01
KY,Kentucky,18.1,46610,2016,1889.15
LA,Louisiana,20.1,45374,2016,1914.23
ME,Maine,12.3,52926,2016,278.37
MD,Maryland,9.69,78787,2016,692.75
MA,Massachusetts,10.5,75207,2016,248.65
MI,Michigan,14.9,52436,2016,3164.16
MN,Minnesota,9.90,65583,2016,7192.33
MS,Mississippi,21,41793,2016,2170.8
MO,Missouri,14,51713,2016,3933.42
MT,Montana,13.4,50265,2016,1718
NE,Nebraska,11.3,56979,2016,7114.13
NV,Nevada,14.1,55201,2016,139.89
NH,New Hampshire,7.59,70986,2016,73.06
NJ,New Jersey,10.4,76212,2016,500.4
NM,New Mexico,19.1,46844,2016,751.58
NY,New York,14.8,62700,2016,1488.9
NC,North Carolina,15.4,50595,2016,3806.05
ND,North Dakota,10.5,61898,2016,3761.96
OH,Ohio,14.5,52357,2016,3979.79
OK,Oklahoma,16.1,49204,2016,1646.41
OR,Oregon,13.4,57379,2016,1794.57
PA,Pennsylvania,12.9,56897,2016,1969.87
RI,Rhode Island,13.3,60046,2016,31.59
SC,South Carolina,15.3,49587,2016,929.93
SD,South Dakota,12.9,54926,2016,3770.19
TN,Tennessee,15.8,48506,2016,1535.13
TX,Texas,15.6,56583,2016,6648.22
UT,Utah,10.1,65931,2016,453.39
VT,Vermont,11.3,57661,2016,180.14
VA,Virginia,11,68127,2016,1146.48
WA,Washington,11.3,67064,2016,3894.81
WV,West Virginia,17.8,43175,2016,138.89
WI,Wisconsin,11.8,56808,2016,3090.23
WY,Wyoming,10.9,61686,2016,349.69
AL,Alabama,16.8,48193,2017,1390.63
AK,Alaska,11,74058,2017,13.31
AZ,Arizona,14.9,56508,2017,1463.17
AR,Arkansas,16.3,45916,2017,3586.02
CA,California,13.3,71785,2017,16472.88
CO,Colorado,10.3,69113,2017,1851.33
CT,Connecticut,9.69,74428,2017,259.62
DE,Delaware,13,64085,2017,282.19
FL,Florida,14.1,52582,2017,3764.09
GA,Georgia,15.1,56117,2017,2860.84
HI,Hawaii,9.5,77936,2017,401.84
